Path,Classification,Confidence,SecondaryFlags,BuiltBy,KeyEvidence,Dependencies,ProposedExtractionAction,Notes
src/custom_listview/clv_ascii_formatter.h,LEGACY_GADTOOLS,High,PUBLIC_API;LEAVE_BEHIND,ascii profiles,justified struct List for GTLV_Labels; detach docs,exec lists,LEAVE_IN_LEGACY_REPOSITORY,
src/custom_listview/clv_ascii_formatter.c,LEGACY_GADTOOLS,High,LEAVE_BEHIND,CLV_ASCII_FORMATTER_OBJS,clv_ascii_create/free_justified_list,platform; log; exec list,LEAVE_IN_LEGACY_REPOSITORY,
src/custom_listview/clv_columns.h,LEGACY_GADTOOLS,High,PUBLIC_API;LEAVE_BEHIND,ascii-sorted/wrapped/full,computed ASCII column format API,none,LEAVE_IN_LEGACY_REPOSITORY,Algorithmically generic text format but product is ASCII GTLV labels
src/custom_listview/clv_columns.c,LEGACY_GADTOOLS,High,LEAVE_BEHIND,CLV_COLUMNS_OBJS,compute widths + format,platform,LEAVE_IN_LEGACY_REPOSITORY,
src/custom_listview/clv_sort.h,GENERIC_REUSABLE,Medium,PUBLIC_API;COPY_CANDIDATE,ascii-sorted; full-smoke,sort state over source cells; no GadTools calls,none,DUPLICATE_SMALL_GENERIC_MODULE,Medium: unused by control today; may be useful later
src/custom_listview/clv_sort.c,GENERIC_REUSABLE,Medium,COPY_CANDIDATE,CLV_SORT_OBJS,qsort-based text/numeric order,platform,DUPLICATE_SMALL_GENERIC_MODULE,
src/custom_listview/clv_cell_tracking.h,LEGACY_GADTOOLS,High,PUBLIC_API;LEAVE_BEHIND,ascii-tracked; full,column click hit-test for ListView X,none,LEAVE_IN_LEGACY_REPOSITORY,Control has own hit_test
src/custom_listview/clv_cell_tracking.c,LEGACY_GADTOOLS,High,LEAVE_BEHIND,CLV_CELL_TRACKING_OBJS,clv_cell_tracking_detect_*,ascii geometry,LEAVE_IN_LEGACY_REPOSITORY,
src/custom_listview/clv_path.h,GENERIC_REUSABLE,High,PUBLIC_API;COPY_CANDIDATE,ascii-sorted/wrapped/full,path truncate/shorten public API,none,DUPLICATE_SMALL_GENERIC_MODULE,Not linked by control; control wrap has PATH mode via draw_ops
src/custom_listview/clv_path.c,GENERIC_REUSABLE,High,COPY_CANDIDATE,CLV_PATH_WRAPPER_OBJS,public wrappers,path_core,DUPLICATE_SMALL_GENERIC_MODULE,
src/custom_listview/clv_path_core.c,GENERIC_REUSABLE,High,COPY_CANDIDATE,CLV_PATH_CORE_OBJS ascii+draw,canonical path shorten core,platform,DUPLICATE_SMALL_GENERIC_MODULE,
src/custom_listview/clv_path_internal.h,GENERIC_REUSABLE,High,PRIVATE_INTERNAL;COPY_CANDIDATE,path modules,internal path-core API,none,DUPLICATE_SMALL_GENERIC_MODULE,
src/custom_listview/clv_char_wrap.h,LEGACY_GADTOOLS,High,PUBLIC_API;LEAVE_BEHIND,ascii-wrapped; full,char wrap + display maps; GTLV_Labels ownership docs,none,LEAVE_IN_LEGACY_REPOSITORY,
src/custom_listview/clv_char_wrap.c,LEGACY_GADTOOLS,High,LEAVE_BEHIND,CLV_CHAR_WRAP_OBJS,builds wrapped physical Node lists,ascii; path; platform; log,LEAVE_IN_LEGACY_REPOSITORY,
src/custom_listview/clv_renderer.h,LEGACY_GADTOOLS,High,PUBLIC_API;LEAVE_BEHIND,CLV_RENDERER_CORE_OBJS draw-*+full,PUBLIC_API: clv_renderer_create/get_hook; prepared lists; GTLV_CallBack docs,gadtools LVDrawMsg; platform; ascii_columns; ops/bind,LEAVE_IN_LEGACY_REPOSITORY,
src/custom_listview/clv_renderer_core.c,LEGACY_GADTOOLS,High,PRIVATE_INTERNAL;LEAVE_BEHIND,CLV_RENDERER_CORE_OBJS draw-*+full,HookEntry; clv_renderer_dispatch(LVDrawMsg); LV_DRAW; prepared build,gadtools LVDrawMsg; platform; ascii_columns; ops/bind,LEAVE_IN_LEGACY_REPOSITORY,
src/custom_listview/clv_renderer_columns.c,LEGACY_GADTOOLS,High,PRIVATE_INTERNAL;LEAVE_BEHIND,CLV_RENDERER_CORE_OBJS draw-*+full,divider reserve; line styles; Phase-2 decor,gadtools LVDrawMsg; platform; ascii_columns; ops/bind,LEAVE_IN_LEGACY_REPOSITORY,
src/custom_listview/clv_renderer_ops.c,LEGACY_GADTOOLS,High,PRIVATE_INTERNAL;LEAVE_BEHIND,CLV_RENDERER_CORE_OBJS draw-*+full,g_clv_opt_fns ops table; single-fragment path,gadtools LVDrawMsg; platform; ascii_columns; ops/bind,LEAVE_IN_LEGACY_REPOSITORY,
src/custom_listview/clv_renderer_internal.h,LEGACY_GADTOOLS,High,PRIVATE_INTERNAL;LEAVE_BEHIND,CLV_RENDERER_CORE_OBJS draw-*+full,private renderer types; bind install decls; includes gadtools,gadtools LVDrawMsg; platform; ascii_columns; ops/bind,LEAVE_IN_LEGACY_REPOSITORY,
src/custom_listview/clv_prepared_display_map.c,LEGACY_GADTOOLS,High,PRIVATE_INTERNAL;LEAVE_BEHIND,CLV_RENDERER_CORE_OBJS draw-*+full,geometric growth for physical display maps (GadTools multi-node wrap),gadtools LVDrawMsg; platform; ascii_columns; ops/bind,LEAVE_IN_LEGACY_REPOSITORY,
src/custom_listview/clv_prepared_internal.h,LEGACY_GADTOOLS,High,PRIVATE_INTERNAL;LEAVE_BEHIND,CLV_RENDERER_CORE_OBJS draw-*+full,prepared-list map helpers,gadtools LVDrawMsg; platform; ascii_columns; ops/bind,LEAVE_IN_LEGACY_REPOSITORY,
src/custom_listview/clv_renderer_setup.h,LEGACY_GADTOOLS,Medium,PRIVATE_INTERNAL;COPY_CANDIDATE,renderer_core; host tests,viewport/continuation-guide geometry helpers; host-testable,types,REWRITE_FOR_RICHLISTVIEW,Medium: algorithmically useful but APIs assume drawn-GadTools presentation
src/custom_listview/clv_renderer_setup.c,LEGACY_GADTOOLS,Medium,PRIVATE_INTERNAL;COPY_CANDIDATE,CLV_RENDERER_CORE_OBJS,pure cell-presentation / viewport geometry,renderer_setup.h,REWRITE_FOR_RICHLISTVIEW,Control has own layout; do not copy blindly
src/custom_listview/clv_selection.h,LEGACY_GADTOOLS,High,PUBLIC_API;LEAVE_BEHIND,draw-selected+; cellctl; wrapped; styled; details; full,clv_handle_selection; GTLV_Selected restore docs,prepared maps,LEAVE_IN_LEGACY_REPOSITORY,
src/custom_listview/clv_selection.c,LEGACY_GADTOOLS,High,LEAVE_BEHIND,CLV_SELECTION_OBJS,GT_SetGadgetAttrs(GTLV_Selected); reject special rows,gadtools; prepared,LEAVE_IN_LEGACY_REPOSITORY,Control selection is logical-row state — different semantics
src/custom_listview/clv_pixel_wrap.c,LEGACY_GADTOOLS,High,LEAVE_BEHIND;DUPLICATE_CANDIDATE,CLV_PIXEL_WRAP_OBJS + bind_wrapped/details/full,pixel wrap install into ops; algorithm source for control_wrap copy,renderer_internal; platform,LEAVE_IN_LEGACY_REPOSITORY,Rich already forked algorithm in clv_control_wrap.c
src/custom_listview/clv_icons.c,LEGACY_GADTOOLS,High,LEAVE_BEHIND,CLV_ICON_OBJS,clv_icons_install; status/sort indicators in LV_DRAW,renderer ops,REWRITE_FOR_RICHLISTVIEW,
src/custom_listview/clv_styles.c,LEGACY_GADTOOLS,High,LEAVE_BEHIND,CLV_STYLE_OBJS,clv_styles_install soft styles,renderer ops,REWRITE_FOR_RICHLISTVIEW,
src/custom_listview/clv_details.h,LEGACY_GADTOOLS,High,PUBLIC_API;LEAVE_BEHIND,draw-details; full,details builder + Hook* view API,renderer,LEAVE_IN_LEGACY_REPOSITORY,
src/custom_listview/clv_details.c,LEGACY_GADTOOLS,High,LEAVE_BEHIND,CLV_DETAILS_OBJS,semantic details builder,details_prepare; renderer,REWRITE_FOR_RICHLISTVIEW,
src/custom_listview/clv_details_prepare.c,LEGACY_GADTOOLS,High,LEAVE_BEHIND,CLV_DETAILS_OBJS,prepared-list construction for details,renderer prepare; ops,LEAVE_IN_LEGACY_REPOSITORY,
src/custom_listview/clv_bind_none.c,LEGACY_GADTOOLS,High,PRIVATE_INTERNAL;LEAVE_BEHIND,draw-basic; draw-selected,clv_renderer_bind_optional installs: empty bind,renderer_ops; optional modules,LEAVE_IN_LEGACY_REPOSITORY,Binder-only; easy to miss as unused
src/custom_listview/clv_bind_wrapped.c,LEGACY_GADTOOLS,High,PRIVATE_INTERNAL;LEAVE_BEHIND,draw-wrapped,clv_renderer_bind_optional installs: pixel_wrap_install,renderer_ops; optional modules,LEAVE_IN_LEGACY_REPOSITORY,Binder-only; easy to miss as unused
src/custom_listview/clv_bind_styled.c,LEGACY_GADTOOLS,High,PRIVATE_INTERNAL;LEAVE_BEHIND,draw-styled,clv_renderer_bind_optional installs: icons+styles install,renderer_ops; optional modules,LEAVE_IN_LEGACY_REPOSITORY,Binder-only; easy to miss as unused
src/custom_listview/clv_bind_details.c,LEGACY_GADTOOLS,High,PRIVATE_INTERNAL;LEAVE_BEHIND,draw-details,clv_renderer_bind_optional installs: wrap+icons+styles,renderer_ops; optional modules,LEAVE_IN_LEGACY_REPOSITORY,Binder-only; easy to miss as unused
src/custom_listview/clv_bind_full.c,LEGACY_GADTOOLS,High,PRIVATE_INTERNAL;LEAVE_BEHIND,full-smoke,clv_renderer_bind_optional installs: wrap+icons+styles,renderer_ops; optional modules,LEAVE_IN_LEGACY_REPOSITORY,Binder-only; easy to miss as unused
src/custom_listview/clv_bind_cellctl.c,LEGACY_GADTOOLS,High,PRIVATE_INTERNAL;LEAVE_BEHIND,draw-cellctl-checkbox,clv_renderer_bind_optional installs: cellctl_install,renderer_ops; optional modules,LEAVE_IN_LEGACY_REPOSITORY,Binder-only; easy to miss as unused
src/custom_listview/clv_cellctl.h,LEGACY_GADTOOLS,High,PUBLIC_API;MISLEADING_NAME;LEAVE_BEHIND,draw-cellctl-checkbox,GadTools control-cell API; parallel to clv_control checkbox,renderer; selection,LEAVE_IN_LEGACY_REPOSITORY,Name suggests product cells; clv_control.h says non-authoritative
src/custom_listview/clv_cellctl_core.c,LEGACY_GADTOOLS,High,LEAVE_BEHIND,CLV_CELLCTL_OBJS,mouse hit; GTLV geometry queries,gadtools; renderer; cellctl_geom,LEAVE_IN_LEGACY_REPOSITORY,
src/custom_listview/clv_cellctl_checkbox.c,LEGACY_GADTOOLS,High,LEAVE_BEHIND;MISLEADING_NAME,CLV_CELLCTL_OBJS,checkbox paint in LV_DRAW hook,cellctl_internal; renderer,LEAVE_IN_LEGACY_REPOSITORY,
src/custom_listview/clv_cellctl_geom.c,GENERIC_REUSABLE,Medium,COPY_CANDIDATE;DUPLICATE_CANDIDATE,CLV_CELLCTL_OBJS; host cellctl_geom tests,pure checkbox geometry/state; host-tested,clv_cellctl_geom.h,DUPLICATE_SMALL_GENERIC_MODULE,Medium: control uses own clv_control_checkbox.c — duplication already exists
src/custom_listview/clv_cellctl_geom.h,GENERIC_REUSABLE,Medium,PUBLIC_API;COPY_CANDIDATE,cellctl + host tests,geom API,none,DUPLICATE_SMALL_GENERIC_MODULE,
src/custom_listview/clv_cellctl_internal.h,LEGACY_GADTOOLS,High,PRIVATE_INTERNAL;LEAVE_BEHIND,cellctl modules,install/paint/hit internals,renderer_internal,LEAVE_IN_LEGACY_REPOSITORY,
src/custom_listview_control/clv_control.h,RICHLISTVIEW,High,PUBLIC_API;MOVE_CANDIDATE;LEGACY_DEPENDENCY,custom-control-demo; -log; -bench; -nosmart,clv_control_create/destroy/render/handle_input; not LISTVIEW_KIND,clv_control_draw.h; custom_listview/clv_types.h,COPY_TO_RICHLISTVIEW_THEN_CLEAN,Includes legacy clv_types.h
src/custom_listview_control/clv_control_draw.h,RICHLISTVIEW,High,PUBLIC_API;MOVE_CANDIDATE,custom-control-demo; -log; -bench; -nosmart,CLV_DrawOps; CLV_Pens; no clv_renderer.h,none architecture-specific,MOVE_TO_RICHLISTVIEW,
src/custom_listview_control/clv_control_platform.h,RICHLISTVIEW,High,PUBLIC_API;MOVE_CANDIDATE;LEGACY_DEPENDENCY,custom-control-demo; -log; -bench; -nosmart,includes custom_listview/clv_platform.h,clv_platform.h,COPY_TO_RICHLISTVIEW_THEN_CLEAN,
src/custom_listview_control/clv_control_internal.h,RICHLISTVIEW,High,PRIVATE_INTERNAL;MOVE_CANDIDATE;LEGACY_DEPENDENCY,custom-control-demo; -log; -bench; -nosmart,struct CLV_Control; includes clv_bench_internal.h,platform; bench; draw_ops,COPY_TO_RICHLISTVIEW_THEN_CLEAN,
src/custom_listview_control/clv_control.c,RICHLISTVIEW,High,MOVE_CANDIDATE;LEGACY_DEPENDENCY,custom-control-demo; -log; -bench; -nosmart,create/destroy/setters/render entry,clv_platform_malloc/free; layout; scroll,COPY_TO_RICHLISTVIEW_THEN_CLEAN,
src/custom_listview_control/clv_control_layout.c,RICHLISTVIEW,High,MOVE_CANDIDATE;LEGACY_DEPENDENCY,custom-control-demo; -log; -bench; -nosmart,layout_rebuild; column geom; row heights,platform; wrap_prepare; CLV_PixelColumn,COPY_TO_RICHLISTVIEW_THEN_CLEAN,
src/custom_listview_control/clv_control_wrap.c,RICHLISTVIEW,High,MOVE_CANDIDATE;LEGACY_DEPENDENCY;DUPLICATE_CANDIDATE,custom-control-demo; -log; -bench; -nosmart,pixel wrap prepare; adapted from clv_pixel_wrap without linking,platform; draw_ops text_width/fit,COPY_TO_RICHLISTVIEW_THEN_CLEAN,
src/custom_listview_control/clv_control_render.c,RICHLISTVIEW,High,MOVE_CANDIDATE,custom-control-demo; -log; -bench; -nosmart,full/viewport/partial/smart-scroll paint; no LVDrawMsg,draw_ops; checkbox paint,MOVE_TO_RICHLISTVIEW,
src/custom_listview_control/clv_control_checkbox.c,RICHLISTVIEW,High,MOVE_CANDIDATE,custom-control-demo; -log; -bench; -nosmart,checkbox resolve/paint for control,draw_ops; cell snapshot,MOVE_TO_RICHLISTVIEW,
src/custom_listview_control/clv_control_input.c,RICHLISTVIEW,High,MOVE_CANDIDATE,custom-control-demo; -log; -bench; -nosmart,hit_test; selection; keyboard NAV; CELL_CONTROL events,checkbox; scroll; layout,MOVE_TO_RICHLISTVIEW,
src/custom_listview_control/clv_control_scroll.c,RICHLISTVIEW,High,MOVE_CANDIDATE,custom-control-demo; -log; -bench; -nosmart,scroll_y clamp; content/viewport height,CLV_Control only,MOVE_TO_RICHLISTVIEW,
src/custom_listview_control/clv_control_log.h,RICHLISTVIEW,High,PRIVATE_INTERNAL;MOVE_CANDIDATE;MISLEADING_NAME,custom-control-demo-log,clv_log_init/write macros; collides with legacy clv_log.h names,none,COPY_TO_RICHLISTVIEW_THEN_CLEAN,Rename later to clv_ctrl_log_*
src/custom_listview_control/clv_control_log.c,RICHLISTVIEW,High,PRIVATE_INTERNAL;MOVE_CANDIDATE,custom-control-demo-log only,PROGDIR logger implementation,DOS,MOVE_TO_RICHLISTVIEW,
src/custom_listview_control/backends/clv_backend_amiga_v36.h,RICHLISTVIEW,High,PUBLIC_API;MOVE_CANDIDATE,custom-control-demo; -log; -bench; -nosmart,clv_backend_v36_*; No LISTVIEW_KIND comment,CLV_DrawOps,MOVE_TO_RICHLISTVIEW,
src/custom_listview_control/backends/clv_backend_amiga_v36.c,RICHLISTVIEW,High,MOVE_CANDIDATE;LEGACY_DEPENDENCY,custom-control-demo; -log; -bench; -nosmart,implements DrawOps; ScrollRaster smart scroll,clv_platform_*; clv_bench_internal.h; graphics,COPY_TO_RICHLISTVIEW_THEN_CLEAN,
examples/00_extraction_smoke_test/main.c,DEMO_OR_TEST,High,LEAVE_BEHIND,full-smoke,smoke of native modules,legacy CLV modules,LEAVE_IN_LEGACY_REPOSITORY,
examples/00_extraction_smoke_test/README.md,DOCUMENTATION,High,LEAVE_BEHIND,full-smoke,smoke of native modules,legacy CLV modules,LEAVE_IN_LEGACY_REPOSITORY,
examples/01_ascii_minimal/main.c,DEMO_OR_TEST,High,LEAVE_BEHIND,ascii-minimal,CreateGadget LISTVIEW_KIND; justified labels,legacy CLV modules,LEAVE_IN_LEGACY_REPOSITORY,
examples/01_ascii_minimal/README.md,DOCUMENTATION,High,LEAVE_BEHIND,ascii-minimal,CreateGadget LISTVIEW_KIND; justified labels,legacy CLV modules,LEAVE_IN_LEGACY_REPOSITORY,
examples/02_ascii_tracked/main.c,DEMO_OR_TEST,High,LEAVE_BEHIND,ascii-tracked,cell tracking,legacy CLV modules,LEAVE_IN_LEGACY_REPOSITORY,
examples/02_ascii_tracked/README.md,DOCUMENTATION,High,LEAVE_BEHIND,ascii-tracked,cell tracking,legacy CLV modules,LEAVE_IN_LEGACY_REPOSITORY,
examples/03_ascii_sorted/main.c,DEMO_OR_TEST,High,LEAVE_BEHIND,ascii-sorted,sort,legacy CLV modules,LEAVE_IN_LEGACY_REPOSITORY,
examples/03_ascii_sorted/README.md,DOCUMENTATION,High,LEAVE_BEHIND,ascii-sorted,sort,legacy CLV modules,LEAVE_IN_LEGACY_REPOSITORY,
examples/04_ascii_wrapped/main.c,DEMO_OR_TEST,High,LEAVE_BEHIND,ascii-wrapped,char wrap,legacy CLV modules,LEAVE_IN_LEGACY_REPOSITORY,
examples/04_ascii_wrapped/README.md,DOCUMENTATION,High,LEAVE_BEHIND,ascii-wrapped,char wrap,legacy CLV modules,LEAVE_IN_LEGACY_REPOSITORY,
examples/05_draw_basic/main.c,DEMO_OR_TEST,High,LEAVE_BEHIND,draw-basic,GTLV_CallBack + prepared labels,legacy CLV modules,LEAVE_IN_LEGACY_REPOSITORY,
examples/05_draw_basic/README.md,DOCUMENTATION,High,LEAVE_BEHIND,draw-basic,GTLV_CallBack + prepared labels,legacy CLV modules,LEAVE_IN_LEGACY_REPOSITORY,
examples/05_draw_cellctl_checkbox/main.c,DEMO_OR_TEST,High,LEAVE_BEHIND;MISLEADING_NAME,draw-cellctl-checkbox,legacy GadTools cellctl,legacy CLV modules,LEAVE_IN_LEGACY_REPOSITORY,
examples/05_draw_cellctl_checkbox/README.md,DOCUMENTATION,High,LEAVE_BEHIND;MISLEADING_NAME,draw-cellctl-checkbox,legacy GadTools cellctl,legacy CLV modules,LEAVE_IN_LEGACY_REPOSITORY,
examples/06_draw_wrapped/main.c,DEMO_OR_TEST,High,LEAVE_BEHIND,draw-wrapped,pixel wrap + selection,legacy CLV modules,LEAVE_IN_LEGACY_REPOSITORY,
examples/06_draw_wrapped/README.md,DOCUMENTATION,High,LEAVE_BEHIND,draw-wrapped,pixel wrap + selection,legacy CLV modules,LEAVE_IN_LEGACY_REPOSITORY,
examples/07_draw_icons_styles/main.c,DEMO_OR_TEST,High,LEAVE_BEHIND,draw-styled,icons/styles,legacy CLV modules,LEAVE_IN_LEGACY_REPOSITORY,
examples/07_draw_icons_styles/README.md,DOCUMENTATION,High,LEAVE_BEHIND,draw-styled,icons/styles,legacy CLV modules,LEAVE_IN_LEGACY_REPOSITORY,
examples/08_draw_details/main.c,DEMO_OR_TEST,High,LEAVE_BEHIND,draw-details,details builder,legacy CLV modules,LEAVE_IN_LEGACY_REPOSITORY,
examples/08_draw_details/README.md,DOCUMENTATION,High,LEAVE_BEHIND,draw-details,details builder,legacy CLV modules,LEAVE_IN_LEGACY_REPOSITORY,
examples/custom_control_demo/main.c,DEMO_OR_TEST,High,MOVE_CANDIDATE;COPY_CANDIDATE,custom-control-demo*,IDCMP→CLV_InputEvent; SCROLLER_KIND companion; paints via clv_control_render,clv_control_*; backend_v36; platform,COPY_TO_RICHLISTVIEW_THEN_CLEAN,Working reference app — copy first
examples/custom_control_demo/README.md,DOCUMENTATION,High,MOVE_CANDIDATE;COPY_CANDIDATE,docs for control demo,documents no LISTVIEW_KIND; control architecture,none,COPY_TO_RICHLISTVIEW_THEN_CLEAN,
examples/ascii_sort_stub.c,DEMO_OR_TEST,High,LEAVE_BEHIND;DEAD_OR_UNREFERENCED,historical/stub,stub example remnants,legacy,ARCHIVE_OR_REMOVE_LATER,Verify Makefile references before removal
examples/ascii_wrap_stub.c,DEMO_OR_TEST,High,LEAVE_BEHIND;DEAD_OR_UNREFERENCED,historical/stub,stub example remnants,legacy,ARCHIVE_OR_REMOVE_LATER,Verify Makefile references before removal
examples/draw_details_stub.c,DEMO_OR_TEST,High,LEAVE_BEHIND;DEAD_OR_UNREFERENCED,historical/stub,stub example remnants,legacy,ARCHIVE_OR_REMOVE_LATER,Verify Makefile references before removal
examples/size_compare/size_shell.c,DEMO_OR_TEST,High,LEAVE_BEHIND,make size-* / sizes,like-for-like size harness for v1 profiles,legacy profile libs,LEAVE_IN_LEGACY_REPOSITORY,
examples/size_compare/size_shell.h,DEMO_OR_TEST,High,LEAVE_BEHIND,make size-* / sizes,like-for-like size harness for v1 profiles,legacy profile libs,LEAVE_IN_LEGACY_REPOSITORY,
examples/size_compare/size_ascii_minimal.c,DEMO_OR_TEST,High,LEAVE_BEHIND,make size-* / sizes,like-for-like size harness for v1 profiles,legacy profile libs,LEAVE_IN_LEGACY_REPOSITORY,
examples/size_compare/size_ascii_sorted.c,DEMO_OR_TEST,High,LEAVE_BEHIND,make size-* / sizes,like-for-like size harness for v1 profiles,legacy profile libs,LEAVE_IN_LEGACY_REPOSITORY,
examples/size_compare/size_ascii_tracked.c,DEMO_OR_TEST,High,LEAVE_BEHIND,make size-* / sizes,like-for-like size harness for v1 profiles,legacy profile libs,LEAVE_IN_LEGACY_REPOSITORY,
examples/size_compare/size_ascii_wrapped.c,DEMO_OR_TEST,High,LEAVE_BEHIND,make size-* / sizes,like-for-like size harness for v1 profiles,legacy profile libs,LEAVE_IN_LEGACY_REPOSITORY,
examples/size_compare/size_draw_basic.c,DEMO_OR_TEST,High,LEAVE_BEHIND,make size-* / sizes,like-for-like size harness for v1 profiles,legacy profile libs,LEAVE_IN_LEGACY_REPOSITORY,
examples/size_compare/size_draw_cellctl_checkbox.c,DEMO_OR_TEST,High,LEAVE_BEHIND,make size-* / sizes,like-for-like size harness for v1 profiles,legacy profile libs,LEAVE_IN_LEGACY_REPOSITORY,
examples/size_compare/size_draw_details.c,DEMO_OR_TEST,High,LEAVE_BEHIND,make size-* / sizes,like-for-like size harness for v1 profiles,legacy profile libs,LEAVE_IN_LEGACY_REPOSITORY,
examples/size_compare/size_draw_selected.c,DEMO_OR_TEST,High,LEAVE_BEHIND,make size-* / sizes,like-for-like size harness for v1 profiles,legacy profile libs,LEAVE_IN_LEGACY_REPOSITORY,
examples/size_compare/size_draw_styled.c,DEMO_OR_TEST,High,LEAVE_BEHIND,make size-* / sizes,like-for-like size harness for v1 profiles,legacy profile libs,LEAVE_IN_LEGACY_REPOSITORY,
examples/size_compare/size_draw_wrapped.c,DEMO_OR_TEST,High,LEAVE_BEHIND,make size-* / sizes,like-for-like size harness for v1 profiles,legacy profile libs,LEAVE_IN_LEGACY_REPOSITORY,
examples/size_compare/size_full.c,DEMO_OR_TEST,High,LEAVE_BEHIND,make size-* / sizes,like-for-like size harness for v1 profiles,legacy profile libs,LEAVE_IN_LEGACY_REPOSITORY,
examples/size_compare/README.md,DOCUMENTATION,High,LEAVE_BEHIND,make size-* / sizes,like-for-like size harness for v1 profiles,legacy profile libs,LEAVE_IN_LEGACY_REPOSITORY,
